priority,barcode,product,odoo_category,shopify_state,days_since_first_stocked,in_store_rev_30d_EGP,in_store_gp_30d_EGP,units_30d,stock_on_hand,stock_at_cost_EGP,wave
1277,1014178959035,027 Shiny White Ballerina,Clothing,NOT_IN_SHOPIFY,96,540,223,1,4,1003,"Wave 1 — in stock, new arrival"
1278,4000886984099,1-152 Summer shoulder bag - mauve   black,School,NOT_IN_SHOPIFY,98,465,223,1,1,185,"Wave 1 — in stock, new arrival"
1279,4894680033481,ZUR-SMASH-74124 Zuru Smashers - Large Horror House 35+ Surprises - Series 1,Toys,ACTIVE_UNPUBLISHED,488,3900,1197,2,0,0,"Wave 4 — needs reorder, older range"
1280,2882562000005,618-160 لعبه حلاقات 7 دور+3  كور  للطفل,Toys (Consignment),ACTIVE_UNPUBLISHED,96,3900,886,6,0,0,"Wave 3 — needs reorder, new range"
1281,1053872566099,305 Bracelet Leather Stone,Clothing,NOT_IN_SHOPIFY,166,750,298,2,63,11340,"Wave 2 — in stock, existing range"
1282,681070105026,[681070105026] Jumbo Silver Letter Foil Balloon - P,Party,NOT_IN_SHOPIFY,751,396,297,1,4,200,"Wave 2 — in stock, existing range"
1283,681070104975,[681070104975] Jumbo Silver Letter Foil Balloon - K,Party,NOT_IN_SHOPIFY,751,396,297,1,5,250,"Wave 2 — in stock, existing range"
1284,4001590683099,568 Mirror stand - Stitch,Clothing,NOT_IN_SHOPIFY,117,405,220,3,3,135,"Wave 1 — in stock, new arrival"
1285,6971537303435,HT-374 CAR TOYS,Toys (Consignment),NOT_IN_SHOPIFY,470,825,297,5,41,3496,"Wave 2 — in stock, existing range"
1286,1066648607099,573373 Backpack Hogwarts Harry Potter Design 17 Inch,School,ACTIVE_UNPUBLISHED,49,4082,881,2,0,0,"Wave 3 — needs reorder, new range"
1287,4000175978099,355 Characters Hair Clip,Clothing,NOT_IN_SHOPIFY,183,553,297,8,24,564,"Wave 2 — in stock, existing range"
1288,4000157035099,C650-كيس قفاش *استك,School,NOT_IN_SHOPIFY,36,394,220,9,3,42,"Wave 1 — in stock, new arrival"
1289,4717385947863,[4717385947863] Ultra Alkaline AA Batteries 2pcs on Card,Toys,NOT_IN_SHOPIFY,578,848,297,10,36,1611,"Wave 2 — in stock, existing range"
1290,4000886942099,1-154-1 Backpack - Tiger Grey,School,NOT_IN_SHOPIFY,98,450,220,1,6,1050,"Wave 1 — in stock, new arrival"
1291,4000886944099,1-154-1 Backpack - Tiger Off White,School,NOT_IN_SHOPIFY,98,450,220,1,5,875,"Wave 1 — in stock, new arrival"
1292,1052898303099,992- 16.5-inch Backpack - Turquoise/Navy - Astronaut,School,ACTIVE_UNPUBLISHED,34,4935,879,3,0,0,"Wave 3 — needs reorder, new range"
1293,1053837651099,Butterfly Necklace Set 275,Various,NOT_IN_SHOPIFY,420,748,297,3,11,1320,"Wave 2 — in stock, existing range"
1294,6223003247751,Tank BTL Quencher 1200ml Cream,School,ACTIVE_UNPUBLISHED,369,4270,1186,4,0,0,"Wave 4 — needs reorder, older range"
1295,1067975218099,D K Cover Navy,Baby Essentials,ACTIVE_UNPUBLISHED,477,4800,1184,3,0,0,"Wave 4 — needs reorder, older range"
1296,1023295241021,26130 Sneakers,Clothing,NOT_IN_SHOPIFY,95,665,219,1,30,10921,"Wave 1 — in stock, new arrival"
1297,5702017419497,76991 Tails' Workshop and Tornado.. V29,Toys,NOT_IN_SHOPIFY,751,4499,1184,1,0,0,"Wave 4 — needs reorder, older range"
1298,4002148521099,نيم كارت بالحبل po,Various,ACTIVE_UNPUBLISHED,52,499,218,10,1,22,"Wave 1 — in stock, new arrival"
1299,2024030204175,[10331-869-1] 869-1 Metal Meccano Building Set,Toys (Consignment),NOT_IN_SHOPIFY,330,1398,294,2,2,932,"Wave 2 — in stock, existing range"
1300,2024060102847,[2024060102847] Disney Doll L-85-3,Toys (Consignment),NOT_IN_SHOPIFY,575,1398,294,2,5,2330,"Wave 2 — in stock, existing range"
1301,4000169636099,433 Stick,Clothing,NOT_IN_SHOPIFY,76,408,218,5,13,364,"Wave 1 — in stock, new arrival"
1302,1050885167099,[10508-22476A-1] La Frutta Baby Silicone Spoon - Green & Pink,Baby Essentials (Consignment),NOT_IN_SHOPIFY,258,1924,294,15,25,2275,"Wave 2 — in stock, existing range"
1303,1066247445099,GB5628 SCHOOL BAG,School,ACTIVE_UNPUBLISHED,47,3300,868,1,0,0,"Wave 3 — needs reorder, new range"
1304,6937620251250,25125 شفاط ثدي كهرباء  تريوجو قابل للارتداء فردى زجى شفاط انف 210مل*2  285MMHG,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,103,5520,868,1,0,0,"Wave 3 — needs reorder, new range"
1305,2041002768099,C001LA La Frutta Baby Carrier,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,174,6600,1169,2,0,0,"Wave 4 — needs reorder, older range"
1306,4895038553347,[240102] Jungle Pals Play Musical Gym,Toys,ACTIVE_UNPUBLISHED,104,2990,866,1,0,0,"Wave 3 — needs reorder, new range"
1307,2056697251012,19423-1 BOYS  Short,Clothing,ACTIVE_UNPUBLISHED,57,1500,216,2,6,3300,"Wave 1 — in stock, new arrival"
1308,1001139996099,07-608 Market Cart,Toys,NOT_IN_SHOPIFY,398,938,291,1,3,1597,"Wave 2 — in stock, existing range"
1309,1066648679099,642930  Lunch Bag Unicorn Design,School,ACTIVE_UNPUBLISHED,49,3888,861,3,0,0,"Wave 3 — needs reorder, new range"
1310,4001556127099,[40015-135] Girls Medium & Small Hair Clip,Clothing,NOT_IN_SHOPIFY,225,536,290,6,4,120,"Wave 2 — in stock, existing range"
1311,1071798264099,"Cube-169-2 Bingo Squishy Chocolate snack pack PU Mixed style, with mesh bags 12 pieces",Toys,ACTIVE_UNPUBLISHED,36,2800,860,28,0,0,"Wave 3 — needs reorder, new range"
1312,4000113184099,687-Simone crossbody bag,Various,NOT_IN_SHOPIFY,69,450,215,1,2,360,"Wave 1 — in stock, new arrival"
1313,1014156046036,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,7,0,"Wave 2 — in stock, existing range"
1314,1014156036036,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,7,0,"Wave 2 — in stock, existing range"
1315,1014156035035,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,9,0,"Wave 2 — in stock, existing range"
1316,1014156045035,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,9,0,"Wave 2 — in stock, existing range"
1317,1014156044034,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,7,0,"Wave 2 — in stock, existing range"
1318,1014156032032,079 Sandal,Clothing,NOT_IN_SHOPIFY,550,330,289,1,7,0,"Wave 2 — in stock, existing range"
1319,1003995750002,104 UnderShirt,Clothing,NOT_IN_SHOPIFY,750,910,289,5,117,11916,"Wave 2 — in stock, existing range"
1320,1071495846099,124 استاند اسكوشي دامبلبنج اشكال 12*1,Toys,ACTIVE_UNPUBLISHED,57,700,214,2,1,200,"Wave 1 — in stock, new arrival"
1321,4000169598099,54 Disney stick,Clothing,NOT_IN_SHOPIFY,76,392,214,10,24,312,"Wave 1 — in stock, new arrival"
1322,4000175953099,562 Acrylic Sortit,Clothing,NOT_IN_SHOPIFY,183,534,288,9,6,120,"Wave 2 — in stock, existing range"
1323,1071854795012,8010 Girls' Checkered Print Short-Sleeve Pajama Set - Babyblue,Clothing,NOT_IN_SHOPIFY,102,575,212,1,21,6132,"Wave 1 — in stock, new arrival"
1324,1043635512099,A284 Tic Tac white,School,NOT_IN_SHOPIFY,48,1584,850,54,0,0,"Wave 3 — needs reorder, new range"
1325,1074197254014, 4404 Pants,Clothing,NOT_IN_SHOPIFY,95,1425,212,2,10,5190,"Wave 1 — in stock, new arrival"
1326,1043672699099,N236 Girls Sunglasses,Clothing,NOT_IN_SHOPIFY,127,668,286,5,33,1980,"Wave 2 — in stock, existing range"
1327,4000113159099,689-Pink crossbody bag,Various,NOT_IN_SHOPIFY,69,1760,844,4,0,0,"Wave 3 — needs reorder, new range"
1328,4000113160099,689-Mauve crossbody bag,Various,NOT_IN_SHOPIFY,69,440,211,1,2,350,"Wave 1 — in stock, new arrival"
1329,4000836101099,12-5025 Cap,Clothing,ACTIVE_UNPUBLISHED,111,400,211,2,17,1190,"Wave 1 — in stock, new arrival"
1330,1071798273099,"Cube-169-3 Bingo Squishy Large soda cans PU Mixed style, with mesh bags 12 pieces",Toys,ACTIVE_UNPUBLISHED,36,2764,842,37,-2,-86,"Wave 3 — needs reorder, new range"
1331,4000169626099,419 Tic tac,Clothing,NOT_IN_SHOPIFY,76,384,210,6,10,210,"Wave 1 — in stock, new arrival"
1332,0090159323334,323331:12 H-D Motorcycles - 2015 H-D Street 750,Toys (Consignment),NOT_IN_SHOPIFY,237,1250,284,1,1,812,"Wave 2 — in stock, existing range"
1333,0090159323266,323261:12 H-D Motorcycles - 2014 Sportster Iron 883,Toys (Consignment),NOT_IN_SHOPIFY,237,1250,284,1,1,812,"Wave 2 — in stock, existing range"
1334,4001272992099,129-1 عروسة موسيقى ونور M-M,Toys,NOT_IN_SHOPIFY,104,650,210,2,3,540,"Wave 1 — in stock, new arrival"
1335,4001091030099,14007 Wakuku one,Toys,NOT_IN_SHOPIFY,293,950,283,2,5,1375,"Wave 2 — in stock, existing range"
1336,6958886766326,[10331-128A-38] RC Bee,Toys (Consignment),ACTIVE_UNPUBLISHED,197,1345,283,1,1,897,"Wave 2 — in stock, existing range"
1337,1070280237099,13771 Poncho,Clothing,ACTIVE_UNPUBLISHED,103,2310,838,6,0,0,"Wave 3 — needs reorder, new range"
1338,1043615629099,1538 Tic tac,Various,NOT_IN_SHOPIFY,113,414,209,7,2,44,"Wave 1 — in stock, new arrival"
1339,4000169620099,410 Stick,Clothing,NOT_IN_SHOPIFY,76,350,209,7,44,616,"Wave 1 — in stock, new arrival"
1340,4000169590099,410 Girls' hair elastic,Clothing,NOT_IN_SHOPIFY,76,350,209,7,18,252,"Wave 1 — in stock, new arrival"
1341,4000191298099,178 Hair Accessories - Bear,Various,NOT_IN_SHOPIFY,253,526,282,4,7,315,"Wave 2 — in stock, existing range"
1342,1060154284099,3515-Pencil Case,School,ACTIVE_UNPUBLISHED,109,2376,834,10,0,0,"Wave 3 — needs reorder, new range"
1343,1060154179099,MD-6314-Stainless Steel Water Bottle,School,ACTIVE_UNPUBLISHED,109,2375,833,5,0,0,"Wave 3 — needs reorder, new range"
1344,1003980926006,188 Onesie,Clothing,ACTIVE_UNPUBLISHED,21,770,208,1,23,10756,"Wave 1 — in stock, new arrival"
1345,1014178928034,028 Matte White Ballerina,Clothing,NOT_IN_SHOPIFY,96,523,208,1,4,1003,"Wave 1 — in stock, new arrival"
1346,1068317882029,2426 Sneakers,Clothing,NOT_IN_SHOPIFY,646,799,280,1,3,1262,"Wave 2 — in stock, existing range"
1347,1068317886033,2426 Sneakers,Clothing,NOT_IN_SHOPIFY,646,799,280,1,3,1262,"Wave 2 — in stock, existing range"
1348,1068317888035,2426 Sneakers,Clothing,NOT_IN_SHOPIFY,646,799,280,1,2,841,"Wave 2 — in stock, existing range"
1349,1071437614099,[1071437614099] Gift Box Bag Assorted Wide - Jumbo,Various,NOT_IN_SHOPIFY,425,650,280,10,15,435,"Wave 2 — in stock, existing range"
1350,30422105,OurKids Gift Wrapping Paper - Yellow,Various,NOT_IN_SHOPIFY,376,1116,279,56,2206,27575,"Wave 2 — in stock, existing range"
1351,2071919039099,[2071919039099] DA4-146 Belago Baby Stroller 311 - Black,Baby Essentials (Consignment),NOT_IN_SHOPIFY,489,4910,1115,1,0,0,"Wave 4 — needs reorder, older range"
1352,4000169624099,431 buckle,Clothing,NOT_IN_SHOPIFY,76,375,206,5,13,318,"Wave 1 — in stock, new arrival"
1353,0602835182557,Wipes Warmer,Baby Essentials,ACTIVE_UNPUBLISHED,104,2350,824,1,0,0,"Wave 3 — needs reorder, new range"
1354,205669741712M,3001 Boys Swimsuit,Clothing,NOT_IN_SHOPIFY,13,1580,206,2,13,7670,"Wave 1 — in stock, new arrival"
1355,1054485699006,9028 Dress,Clothing,ACTIVE_UNPUBLISHED,91,635,206,1,2,703,"Wave 1 — in stock, new arrival"
1356,1054485698009,9028 Dress,Clothing,NOT_IN_SHOPIFY,91,635,206,1,5,1758,"Wave 1 — in stock, new arrival"
1357,2073995872099,مشاية اطفال 017,Baby Essentials (Consignment),NOT_IN_SHOPIFY,33,5365,821,3,0,0,"Wave 3 — needs reorder, new range"
1358,1066648645099,638447-1 Trolley Bag Game on Design 18 Inch,School,ACTIVE_UNPUBLISHED,49,3615,821,1,0,0,"Wave 3 — needs reorder, new range"
1359,1066648641099,316835-2 Trolley Bag Moana Design 18 Inch,School,ACTIVE_UNPUBLISHED,49,3615,821,1,0,0,"Wave 3 — needs reorder, new range"
1360,1066648640099,376168 Trolley Bag Mermaid Design 18 Inch,School,ACTIVE_UNPUBLISHED,49,3615,821,1,0,0,"Wave 3 — needs reorder, new range"
1361,1074197259004,4410 Short,Clothing,NOT_IN_SHOPIFY,95,620,205,1,2,678,"Wave 1 — in stock, new arrival"
1362,1071496598099,189-7 stitchماسك جيتار وسط,Toys,ACTIVE_UNPUBLISHED,63,2949,817,6,0,0,"Wave 3 — needs reorder, new range"
1363,1060150452099,MD-350 MICHAEL 6pcs 6 Fluorescent Colors Set / Stand,Toys,NOT_IN_SHOPIFY,463,786,275,6,3,207,"Wave 2 — in stock, existing range"
1364,4000169612099,451 buckle,Clothing,NOT_IN_SHOPIFY,76,375,204,5,60,1500,"Wave 1 — in stock, new arrival"
1365,4000175952099,266 Girls Hair Elastic,Clothing,NOT_IN_SHOPIFY,183,518,274,15,71,852,"Wave 2 — in stock, existing range"
1366,6955265607911,[10148-1724] Qman Blocks Aircraft Carrier 1007 Pieces,Toys (Consignment),NOT_IN_SHOPIFY,433,3945,1093,1,0,0,"Wave 4 — needs reorder, older range"
1367,4001513132099,[4001513132099] Kids Girls Hair Clip,Various,NOT_IN_SHOPIFY,215,495,272,9,7,126,"Wave 2 — in stock, existing range"
1368,6959994073634,6653-45 جردل مكعبات بوبي اصفر,Toys (Consignment),ACTIVE_UNPUBLISHED,55,3825,805,5,0,0,"Wave 3 — needs reorder, new range"
1369,1071034921099,Crib Bumper - Roses of white,Clothing,ACTIVE_UNPUBLISHED,105,2240,805,4,0,0,"Wave 3 — needs reorder, new range"
1370,4895038543683,000803 Walker Ride-on Learning Train,Toys,ACTIVE_UNPUBLISHED,756,3750,1086,1,0,0,"Wave 4 — needs reorder, older range"
1371,6955265608055,1134  BUILDING BLOCK SIGNTSEEING TAXI 322PCS,Toys (Consignment),NOT_IN_SHOPIFY,627,979,271,1,3,1762,"Wave 2 — in stock, existing range"
1372,4000568143099,68143 كرسى بيبى أولادى 18ك أكو,Baby Essentials,ACTIVE_UNPUBLISHED,95,1900,804,1,0,0,"Wave 3 — needs reorder, new range"
1373,1071798263099,"Cube-169-2 Bingo Squishy Chocolate snack pack PU Mixed style, with mesh bags 12 pieces",Toys,ACTIVE_UNPUBLISHED,36,2670,803,27,0,0,"Wave 3 — needs reorder, new range"
1374,9345265598673,[9345265598673] Disney Foam Kids Play Mat 122x122cm,Toys (Consignment),NOT_IN_SHOPIFY,572,980,271,1,2,1178,"Wave 2 — in stock, existing range"
1375,1064365885099,202 Beach Towel S-P,Clothing,NOT_IN_SHOPIFY,78,515,200,1,4,1007,"Wave 1 — in stock, new arrival"
1376,4000169603099,440 Sortit Stan,Clothing,NOT_IN_SHOPIFY,76,356,200,8,13,182,"Wave 1 — in stock, new arrival"
1377,4000134989099,Girls Hair Elastic Hair Accessory - 948,Various,NOT_IN_SHOPIFY,463,440,269,11,61,648,"Wave 2 — in stock, existing range"
1378,1052898286099,991 -15-inch Backpack - Fuchsia/Purple - Unicorn,School,ACTIVE_UNPUBLISHED,34,4500,797,3,0,0,"Wave 3 — needs reorder, new range"
1379,1052898279099,991 -15-inch Backpack - Orange/Black - Basketball,School,ACTIVE_UNPUBLISHED,34,4500,797,3,0,0,"Wave 3 — needs reorder, new range"
1380,1062492175027,26116 Half Boot,Clothing,NOT_IN_SHOPIFY,250,745,269,1,10,3850,"Wave 2 — in stock, existing range"
1381,6222360883966,966 بيبي ووكر 6 *1,Baby Essentials (Consignment),ACTIVE_UNPUBLISHED,43,3500,795,1,0,0,"Wave 3 — needs reorder, new range"
1382,1068525828099,zx2211 Umbrella Walker & Piano Play Mat,Baby Essentials,ACTIVE_UNPUBLISHED,144,4710,1072,3,0,0,"Wave 4 — needs reorder, older range"
1383,6920251126998,[10148-B118] B118 Girls Projector Toy,Toys (Consignment),ACTIVE_UNPUBLISHED,172,3855,1071,3,0,0,"Wave 4 — needs reorder, older range"
1384,1052885676099,993 18-inch Backpack - Red/Black - Astronaut,School,ACTIVE_UNPUBLISHED,45,5176,791,3,0,0,"Wave 3 — needs reorder, new range"
1385,1073705654003,992 Pajama,Clothing,NOT_IN_SHOPIFY,92,750,197,3,5,768,"Wave 1 — in stock, new arrival"
1386,1034089604099,ساده cards,Party,NOT_IN_SHOPIFY,54,504,197,14,55,962,"Wave 1 — in stock, new arrival"
1387,1060154224099,YY-574-Water Bottle,School,ACTIVE_UNPUBLISHED,109,2250,786,6,0,0,"Wave 3 — needs reorder, new range"
1388,4000175951099,309 Kids Hair Elastic & Small Scrunchie,Clothing,NOT_IN_SHOPIFY,183,480,265,6,3,78,"Wave 2 — in stock, existing range"
1389,2066980267040,416  Socks (Pack Of 3),Clothing (Consignment),NOT_IN_SHOPIFY,468,1068,265,7,33,3168,"Wave 2 — in stock, existing range"
1390,1071425742099,D-Nشنطة هدايا بوكس /FU-10,Toys,NOT_IN_SHOPIFY,109,594,196,10,15,488,"Wave 1 — in stock, new arrival"
1391,4000157045099,C593-قفاش اسود,School,NOT_IN_SHOPIFY,36,360,196,6,29,580,"Wave 1 — in stock, new arrival"
1392,4000175938099,361 Alo Hair Clip,Clothing,NOT_IN_SHOPIFY,183,500,264,5,3,105,"Wave 2 — in stock, existing range"
1393,4000113139099,665-Mauve shoulder bag,Various,NOT_IN_SHOPIFY,69,428,195,2,2,180,"Wave 1 — in stock, new arrival"
1394,10721200,MAINTENANCE -SPIKE,Services,NOT_IN_SHOPIFY,166,1200,1053,5,0,0,"Wave 4 — needs reorder, older range"
1395,5060624773433,بوستر ماكس Iron,Baby Essentials,ACTIVE_UNPUBLISHED,365,3999,1052,1,0,0,"Wave 4 — needs reorder, older range"
1396,1060154207099,95519-Plastic Water Bottle,School,ACTIVE_UNPUBLISHED,109,2220,777,6,0,0,"Wave 3 — needs reorder, new range"
1397,2025070106221,5588-D513 ريموت ميني,Toys (Consignment),ACTIVE_UNPUBLISHED,55,3690,777,2,0,0,"Wave 3 — needs reorder, new range"
1398,4894692083023,[4894692083023] Girls Jewelry Accessories Set,Toys (Consignment),NOT_IN_SHOPIFY,753,1245,262,1,4,3320,"Wave 2 — in stock, existing range"
1399,1052557490008,100101474 One-Piece Swimsuit,Clothing,ACTIVE_UNPUBLISHED,69,495,194,1,22,5288,"Wave 1 — in stock, new arrival"
1400,1052557489006,100101474 One-Piece Swimsuit,Clothing,ACTIVE_UNPUBLISHED,69,495,194,1,22,5288,"Wave 1 — in stock, new arrival"
1401,4000785682099,YB-308-8-5 قاعدة تواليت بتطبق P-O,Baby Essentials,ACTIVE_UNPUBLISHED,60,2000,774,4,0,0,"Wave 3 — needs reorder, new range"
1402,1052883577099,2992-16.5-inch Trolley bag - Maroon/Navy - S-P,School,ACTIVE_UNPUBLISHED,20,4370,773,2,0,0,"Wave 3 — needs reorder, new range"
1403,1052883587099,2992-16.5-inch Trolley bag - Fuchsia/Purple - M-M,School,ACTIVE_UNPUBLISHED,20,4370,773,2,0,0,"Wave 3 — needs reorder, new range"
1404,1052898345099,2992-16.5-inch Trolley bag  - Fuchsia/Purple - Unicorn,School,ACTIVE_UNPUBLISHED,34,4370,773,2,0,0,"Wave 3 — needs reorder, new range"
1405,1052883576099,2992-16.5-inch Trolley bag - Orange/Navy - B-M,School,ACTIVE_UNPUBLISHED,20,4370,773,2,0,0,"Wave 3 — needs reorder, new range"
1406,1072654746099,جوندول تيستي مجموعة ادوات مائدة شوكة ملعقة وسكين,School,ACTIVE_UNPUBLISHED,36,2938,773,26,0,0,"Wave 3 — needs reorder, new range"
1407,1014882767099,[10148-BR1991884-1] BR1991884 RC Toy Car Charger Watch + Remote - Blue,Toys (Consignment),NOT_IN_SHOPIFY,172,1233,260,1,3,2465,"Wave 2 — in stock, existing range"
1408,1043615645099,33 Sortit,Various,NOT_IN_SHOPIFY,113,384,192,6,23,552,"Wave 1 — in stock, new arrival"
1409,1073091248012,309421-1 Girls Dark Denim Boyfriend Shorts with Rolled Cuffs,Clothing,NOT_IN_SHOPIFY,77,584,192,1,41,13120,"Wave 1 — in stock, new arrival"
1410,1073091246008,309421-1 Girls Dark Denim Boyfriend Shorts with Rolled Cuffs,Clothing,NOT_IN_SHOPIFY,77,584,192,1,41,13120,"Wave 1 — in stock, new arrival"
1411,1003973811010,104 UnderShirt,Clothing,NOT_IN_SHOPIFY,564,848,259,4,69,8355,"Wave 2 — in stock, existing range"
1412,4002148534099,نيم كارت بالحبل KB,Various,ACTIVE_UNPUBLISHED,52,444,192,9,1,22,"Wave 1 — in stock, new arrival"
1413,1003973813012,104 UnderShirt,Clothing,NOT_IN_SHOPIFY,564,888,259,4,44,5716,"Wave 2 — in stock, existing range"
1414,6958812744367,LD6096-1-BEAUTY SET,Toys,NOT_IN_SHOPIFY,433,739,259,1,1,389,"Wave 2 — in stock, existing range"
1415,4894680021730,XS-36534-A X-Shot Skins Flux 2pk,Toys,NOT_IN_SHOPIFY,656,2212,259,2,2,1682,"Wave 2 — in stock, existing range"
1416,4000150390099,1065 Hair Strand Elastic,Clothing,NOT_IN_SHOPIFY,456,441,258,5,6,155,"Wave 2 — in stock, existing range"
1417,4000113195099,684-Off-white crossbody bag,Various,NOT_IN_SHOPIFY,69,400,191,1,5,800,"Wave 1 — in stock, new arrival"
1418,4000113198099,684-Gold crossbody bag,Various,NOT_IN_SHOPIFY,69,400,191,1,5,800,"Wave 1 — in stock, new arrival"
1419,4000113156099,685-White crossbody bag,Various,NOT_IN_SHOPIFY,69,400,191,1,1,160,"Wave 1 — in stock, new arrival"
1420,4000113171099,684-White crossbody bag,Various,NOT_IN_SHOPIFY,69,400,191,1,5,800,"Wave 1 — in stock, new arrival"
1421,4000113197099,684-Black crossbody bag,Various,NOT_IN_SHOPIFY,69,400,191,1,5,800,"Wave 1 — in stock, new arrival"
1422,1052883603099,301 Lunch Bag + Pencil Case - Navy/Yellow - Speed-Of Hero,School,ACTIVE_UNPUBLISHED,20,4901,759,6,0,0,"Wave 3 — needs reorder, new range"
1423,4000169628099,398 buckle,Clothing,NOT_IN_SHOPIFY,76,350,190,5,14,329,"Wave 1 — in stock, new arrival"
1424,6222360890263,LH-C026-3-عربية بهلوانية بريموت ساعة,Toys (Consignment),ACTIVE_UNPUBLISHED,126,4500,1022,2,0,0,"Wave 4 — needs reorder, older range"
1425,1069765912099,[1069765912099] Kids Teddy Bear Cross Bag - Black & Off White,Various,ACTIVE_UNPUBLISHED,623,518,255,1,1,199,"Wave 2 — in stock, existing range"
1426,1053815673099,276 Shapes Necklace Set,Various,NOT_IN_SHOPIFY,333,610,255,2,24,3360,"Wave 2 — in stock, existing range"
1427,1053815674099,277 Shell Rose Necklace Set,Various,NOT_IN_SHOPIFY,333,610,255,2,19,2660,"Wave 2 — in stock, existing range"
1428,1060154217099,95520-Plastic Water Bottle,School,ACTIVE_UNPUBLISHED,109,2212,753,6,0,0,"Wave 3 — needs reorder, new range"
1429,6925162740806,5116 Racing Track Blocks 57 Pieces,Toys (Consignment),NOT_IN_SHOPIFY,574,1115,253,1,1,725,"Wave 2 — in stock, existing range"
1430,1060150403099,2922 Michael Shaped Correction Tape / Stand,School,NOT_IN_SHOPIFY,463,735,252,8,49,2401,"Wave 2 — in stock, existing range"
1431,4000191211099,C246 Metal Hair Claw Medium,Various,NOT_IN_SHOPIFY,253,470,252,10,13,208,"Wave 2 — in stock, existing range"
1432,202512115754,22005 انسان الي بالريموت,Toys (Consignment),ACTIVE_UNPUBLISHED,99,3290,747,1,0,0,"Wave 3 — needs reorder, new range"
1433,4000182672099,604 تيك تاك جليتر,Clothing,NOT_IN_SHOPIFY,33,340,186,4,32,896,"Wave 1 — in stock, new arrival"
1434,1034021358099,Baby Girl Cards,Party,NOT_IN_SHOPIFY,751,665,251,19,142,2485,"Wave 2 — in stock, existing range"
1435,4000175987099,375-1 Metal Clamps Gold 2,Clothing,NOT_IN_SHOPIFY,183,468,251,4,71,2840,"Wave 2 — in stock, existing range"
1436,1003973161006,188 Onesie,Clothing,NOT_IN_SHOPIFY,230,770,250,1,1,425,"Wave 2 — in stock, existing range"
1437,1003973167006,188 Onesie,Clothing,ACTIVE_UNPUBLISHED,230,770,250,1,1,425,"Wave 2 — in stock, existing range"
1438,4000882305099,105 Crossbody bag - Pink heart,School,NOT_IN_SHOPIFY,103,365,185,1,1,135,"Wave 1 — in stock, new arrival"
1439,0194735178377,"HRJ76 Mattel B-R Getaway House, Doll House Playset With 4 Play Areas And 11 Decor Accessories",Toys,NOT_IN_SHOPIFY,340,3250,998,1,0,0,"Wave 4 — needs reorder, older range"
1440,6223003247836,Tank BTL Magnet 1000ml Black,School,ACTIVE_UNPUBLISHED,369,1095,249,1,3,2134,"Wave 2 — in stock, existing range"
1441,1071725479099,Maltose - Slow Rising - Rebound Sugar Ice Cube Bubbles Shining Mixed color CDU 12PCS,Toys,NOT_IN_SHOPIFY,43,600,184,4,1,86,"Wave 1 — in stock, new arrival"
1442,4001170631099,4661 غيار بابلز ص 250 مللى,Baby Essentials,ACTIVE_UNPUBLISHED,21,520,184,15,1,18,"Wave 1 — in stock, new arrival"
1443,1003935520099,147 Bib,Clothing,NOT_IN_SHOPIFY,159,916,248,12,7,324,"Wave 2 — in stock, existing range"
1444,1062454794099,A020 Baby Bib (Pack Of 3),Clothing,ACTIVE_UNPUBLISHED,587,710,248,3,7,875,"Wave 2 — in stock, existing range"
1445,4000191491099,Hair Accessories - Nour Characters,Various,NOT_IN_SHOPIFY,169,488,248,4,19,855,"Wave 2 — in stock, existing range"
1446,8075400104490,DHTRC10449 Wrc 1:20 R/C Car Ds 3(Without Battery),Toys (Consignment),NOT_IN_SHOPIFY,567,1175,247,1,2,1567,"Wave 2 — in stock, existing range"
1447,6223003249304,Tank Everyday 480ml Midnight Blue,Various,NOT_IN_SHOPIFY,298,770,247,1,1,429,"Wave 2 — in stock, existing range"
1448,1052513260008,100100996  Sunsuit One-Piece,Clothing,ACTIVE_UNPUBLISHED,130,635,246,1,2,621,"Wave 2 — in stock, existing range"
1449,1052513262012,100100996  Sunsuit One-Piece,Clothing,ACTIVE_UNPUBLISHED,130,635,246,1,7,2175,"Wave 2 — in stock, existing range"
1450,1071798268099,"Cube-169-2 Bingo Squishy Chocolate snack pack PU Mixed style, with mesh bags 12 pieces",Toys,ACTIVE_UNPUBLISHED,36,2390,728,24,0,0,"Wave 3 — needs reorder, new range"
1451,1014838803099,[1014838803099] Remote Control Transforming Robot 2 Colors HT9936-1-1 - Purple,Toys (Consignment),NOT_IN_SHOPIFY,589,962,246,1,1,599,"Wave 2 — in stock, existing range"
1452,681070103619,1511836-Baby Boy Stroller,Toys,NOT_IN_SHOPIFY,616,425,246,1,8,1018,"Wave 2 — in stock, existing range"
1453,1052898339099,2991-15-inch Trolley bag - Red/Navy - Sonic,School,ACTIVE_UNPUBLISHED,34,4090,728,2,0,0,"Wave 3 — needs reorder, new range"
